1,"cnn this russian war has costed america allot of money so far , now you say your sending more but how is the ukraine "
2,cnn goat
3,watching on cnn. he’s the guy to beat!
4,cnn it’s over. and he knows it. we all know it. his power is gone.
5,"the ethiopian government's military adventures in oromia target innocent oromo civilians, particularly oromo youth aged 10 "
6,cnn don listened to every side. that is why fauci was in his team. unlike brandon who only has lying ideologues.
7,"cnn don’t get me wrong though, i hate cable too."
8,glad to see is calling for full investigation of the airplane airplane incident over the capitol. 
9,"cnn thank you cnn for holding those in power, accountable, regardless of political affiliation.when every news outlet is considered fake, except foe 2 (fox and newsmax), you're in great company."
10,"cnn ummm they were claiming cnn told them to ""go learn coding "" not that "" hey some random coal miner decided to be proactive and learned coding "" .can we all admit now that ppl are playing tribal politics and over exaggerating events just to try and dunk on cnn or other sites"
11,cnn not going to happen
12,"the #marimba was featured in cnn's 2016 ""inside africa."" but when indigenous musicians performed during the #pope's visit to oaxaca, #mexico that same year, neither cnn nor any news network mentioned its #african origins. [1137]"
13,cnn so all the people on the planes and buses that stopped wearing their masks are just falling for peer pressure by a minority? i don't get it.
14,"cnn this russian war has costed america allot of money so far , now you say your sending more but how is the ukraine army going to get this stuff if there held up in a factory with the russian army enclosed all around them ? thinking faceface with rolling eyesflag: Russiaflag: Ukrainerocketbombfireairplane"
15,cnn good
16,"hey cnn: what part of completely outlawing abortion, banning books from libraries and math books from classrooms, "
17,"cnn there are countries that require n95s, check in with them and see how elimination is going."
18,cnn msnbc exactly. because they are gop water carriers.
19,"pm abiy publicly said that the oromo liberation front enjoys full support of the oromo people. he is right, 50+ million "
20,"cnn see, i was going to answer your question seriously until i read your last sentence and realized you were just whining about a ruling not going your way. perhaps don’t couch everything as an emotional outburst and you may learn something."
21,cnn we've bent over backwards to follow cdc guidelines and protect our son. avoided family gatherings cancelled 
22,msnbc cnn no earth day observance in our state capital
23,cnn this has been the truth since the beginning.but you were all over cnn telling lies. how can people believe anything you say? whats the agenda? you are a smart woman you didnt just change your mind on masks as the data has not changed?
24,cnn yikes embarrassing
25,cnn well lucky me.
26,cnn or… people don’t want to get covid over and over again. that’s my theory. just a theory.
27,.cnn msnbc democrats are jealous of ron desantis popularity. they’re trying to do everything they can to try to 
28,"cnn: “today, i'm announcing another $800 million to further augment ukraine's ability to fight”president biden announced additional "
29,"cnn: cnn+, the streaming service that was hyped as one of the most signifiant developments in the history of cnn, will shut down on "
30,i'm just wondering why cnn and msnbc haven't picked up what is happening on the florida house floor right now.
31,cnn potus you did help. thank you. not your fault distribution has been so lacking. that’s on the .
32,"cnn are really going to flaunt your tds over this issue? dems acting like pedos fighting a common sense legislation, but you're still trying to blame trump?makes no sense."
33,cnn please do your due diligence & review the police report which clearly shows it was not 
34,we stand in solidarity with the oromo people and the oromo liberation army (ola) …
35,cnn oh the irony#nothingcanstopwhatiscoming
36,"cnn: separate explosions in northern afghanistan on thursday have killed at least 15 people and left dozens more injured, local "
37,cnn the same could be said of every single intervention you suggested during covid.
38,"let's all take the time to enjoy this great and momentous occasion.cnn failing#cnnplus belly flopped and died, after just one month!"
39,"cnn: watch as rudy giuliani was unmasked from the jack in the box costume in 'the masked singer,' prompting one of the judges to walk "
40,cnn so true
41,yep just ask adm kirby where is the new equipment training 
42,can you believe it? cnn is finally doing big-j journalism! #cnnplus
43,some how msm think american people are interested in jonny depp trial . holy s.t . is this a kitchen table issue ? 
44,cnn cdc has lost all credibility along with fauxci
45,stop with the disney distractions y'all. the mouse has all the resources in the world and will be fine. the true 
46,"cnn please do your due diligence & review the police report which clearly shows it was not braddock (no jurisdiction), but the bordering borough, north braddock. no gun on jogger whose face was clearly visible as clear in video clip of local tv station. no apology ever!"
47,cnn lmao now he's a constitutional expert too! gmafb. can't wait until he's fired.
48,no. #fakenews #enemyofthepeople cnn isnt kind. they chose to work for the idiots. nmfp. rolling on the floor laughing
49,cnn there are no limits in the name of public health i guess
50,"unless we are requiring n95 masks for everyone, ""we are expending a lot of public capital for very little return"" through "
51,"cnn the problem is when you have more than 4 streaming services out of the hundred+ that probably exist by now, you’re starting to pay more than you did for cable. it’s a grift. when it was just hulu and netflix and they had everything on them it was a crazy better deal overall."
52,"a seemingly racist hostile takeover is being executed against a black american town, mason. is suddenly "
53,"cnn: a california lawmaker says police in santa ana have been playing loud, copyrighted music so that video of them on patrol would "
54,cnn because they're not needed? stay inside if you're scared. zero covid will never be a thing.
55,cnn msnbc they will hardly cover it because their owners like oligarchy. it’s not hard to figure out.
