284006,i would enjoy all of this smiling face with smiling eyes,0,,
612738,assume youll be first in line,0,,
692972,except she ’ s not,0,,
94999,this is fine that is what over turning it was about giving the choice back to the states to make their own choices,0,,
121931,lol like you would know lmao you werent there when meadows and giuliani spoke to her lmfao,0,,
792946,will the make a visit,0,,
711894,she was brave enough to lie under oath knowing she might be contradicted by secret security agents who were actually therewhich they did,0,,
450253,i hope your faith is giving you a sense of comfort and strength in these horrific times,0,,
232308,we are paying a lot more for gas and food and yes rent and this is all you got boarder is open a bunch of people died this is why i stopped watching you back in the s,0,,
114707,stop talking about trump as a viable political candidate seriously… what ’ s it going to take to get you to tell the truth,0,,
519620,i ’ m still not sure about that the two pieces of testimony you bring up have not been refuted by equal testimony yet there was a lot more to her testimony than those two things and they are insignificant compared to the other testimony,0,,
343267,very few of them do the majority vote as they are told,0,,
887864,that testimony was debunked in hours all bs hearsay and nd hand information what a sham,0,,
954124,we have to help all innocent people because we are humans and it is humane to do so nato and our country can help and we should,0,,
49540,jake set up that interview with ray maybe cnncertainly not news can get some ratings again,0,,
347401,i just love her shes been incredible and beyond brave in the capitol under fire hope you know what you have with her she maintains her composure and humanity while talking to ukrainiansbroken heartfolded hands,0,,
883109,looks like i ’ m autoblocked from even though i don ’ t follow him face with tears of joy,0,,
197411,im in denmark if theres anything i can do to help let me know please stay safe,0,,
358144,i do not agree with any of this and my opinion is different thumbs up,0,,
412405,explain in nba terms thinking face,0,,
969919,rep tim ryan republicans are ‘ proinsurrection and antiinfrastructure ’ via,0,,
134212,urgent ceasefire for injured soldiersthey need urgent evacuation and treatmentthey deserve this,0,,
257036,western governments doubt whether russia wants to pursue diplomatic path where is your formal response to the letters we sent you on your explicit request,0,,
139751,this is going to age well,0,,
76633,if someone gives testimony and nobodys watching is it still testimony,0,,
1014894,ever hear of cheney and kinzinger,0,,
489285,hey and how bout it did nancy say no what say you i bet youll look into and youll take immediate action if i send you demexit notanotherdime green independent rcv thirdparty,0,,
248473,me when van jones comes in cnn,0,,
735385,cooper everything was more than clear that it was fabricated but your obsessive hate and all those from the media doesnt let you see the reality but is makes you happy and makes you feel youre into something but at the end we just have to agree to disagree,0,,
106114,happy birthday again mr president god bless you,0,,
808876,congratulations to your beautiful baby boy gods blessings,0,,
328120,and cnn wonders why they only had on average for every show last week viewers and fox news had million…man shrugging: light skin tonehmmmm,0,,
468169,maybe we should ban guns,0,,
631554,and are looking for demonstrators on the other side of town and reporting nobody showedup,0,,
442587,cassidy hutchinson is a lady,0,,
361294,private businesses can impose whatever restrictions they want,0,,
374431,then encourage them to vote early duh,0,,
500387,leaked draft with sample answers year country confederate states of america state florida school one room all grades,0,,
237645,do you think it ’ s important that our children have a firm foundation on the difference socially and scientifically between men and women,0,,
888215,i live downtown slc and having uber and lyft and even the scooters also helps a lot with promoting a culture of not driving drunk,0,,
839014,ed sheeran and taylor swift are continuing the love story of their first collaborative track everything has changed,0,,
697335,you ’ d have to tell me can ’ t help you your comments are incoherent to others sorry about your situation,0,,
159313,you do realize they can both cause trauma consider the long term psychological effects of being programmed to fear breathing the same air as other human beings in your most impressionable years its really not that out there a concept to grasp,0,,
334302,you have no viewers face with tears of joy,0,,
5351,so where do i find the question of the day,0,,
637393,northern wisconsin has seen its second coldest april may and june,0,,
583667,it did start with the leader of the free world so yes that is correct,0,,
155408,she ’ s in on it,0,,
416729,according to doctors in the largest hospital in tigraya child wounded in an air strike bled to death after doctors ran out of gauze and intravenous fluids to treat her endtigraysiege,0,,
593712,blockbuster comedy,0,,
602873,her version of one minor inconsewuential event which she had only been told about now on those things where people like meadows and giuliani spoke directly to her that remains uncontested by anyone in a position to know,0,,
65279,maybe they like freedom face with tears of joy,0,,
466714,one of their guests last night said the same thing she was grown up enough he isn ’ t face with tears of joyface with tears of joyface with tears of joy,0,,
602430,blue state,0,,
721695,it was mercenary vs us forces and air power did all fighting,0,,
152814,the cost of living is skyrocketing many people have experienced pay decreases because of inflation basing an opinion on your own personal life and circumstances is the whole point of politics,0,,
810584,when does her new show air on msnbc,0,,
782720,our students wear masks every day its not a big deal they dont want to get sick,0,,
1060769,happy new year viva mexico,0,,
361682,wow you paint a pretty picture you left out that canadians pay for their healthcare through lots of taxes way way more than in the us you are also paying a gallon for gas and percent luxury surcharge tax on cars stitches for bucks wowwhat a steal,0,,
156587,the appointment and removal of directors is voted upon by the shareholders buffet is the biggest shareholder,0,,
1039842,they set out a timeline for lifting everything this spring months ago… and at the time said depending on numbers the dates could vary but they were always going to be lifted this spring did you miss that part,0,,
211977,ukraine is very wealthy in resources thats what both sides want the local population doesnt factor into it,0,,
982447,news doctor escaped mariupol maternity ward minutes before bombing via,0,,
358394,shes a queen,0,,
833720,gets vapors after cassidyhutchinson testimony before jcommitteehearings,0,,
556965,no but hey she ’ s saying what they want to hear,0,,
959243,loudly crying face awwww say it ain ’ t true sweat droplets,0,,
497123,please know that the vast majority of canadians support the vaccine and the prime minister  istandwithtrudeau,0,,
808449,good point but it could still be argued as a comparison,0,,
162903,ok but i would never watch morning joe or andrea but her emails mitchell and didnt they give hugh hewitt a program for a bit also chuck todd none of these networks are your friend,0,,
311426,i hate myself for thinking this sounds delicious,0,,
476866,no they didn ’ t you must watch the lions over at fox news lol,0,,
723198,translation i did not watch one split second of it but a friend ’ s nd cousin told her dad ’ s girlfriend that a lady at the grocery store said that she was a brave young lady…,0,,
472874,if you havent come up with frito nachos yet then i dont know if you deserve the power this tostada suggests,0,,
408065,to exercise your point share those numbers per the cities you talked about it ’ ll do just like what you said and show how big cities have big issues,0,,
822837,is utah the only place with fewer people driving during a pandemic,0,,
