585871,bitch i turn on the tv and is drunk af also how are two homos on hosting and now they have a third on with y ’ all is bringing the gay agenda to the world homos as far as the eye can see…,1,,
215768,hicks and hillbillies are taking over the republic of gilead formerly known as the united states of america gay muricans they ’ re coming after your rights and freedom next gtfo,1,,
311431,the whole bunch is pure trash including the self appointed spokeswoman for the gay bunch he will be the next one to go,1,,
452016,these gay drunk dudes on are very embarrassing see-no-evil monkey,1,,
109292,this dude is drunk af and crosseyed on in the tan coat,1,,
405389,lying skank whores right herebackhand index pointing down aka,1,,
663546,lets call a spade a spade americans realize they have elected the wrong person to led this country and know that washington will do nothing for them til democracy is destroyed,1,,
671315,do you useless cocksuckers really think putting spaceballs helmets on reporters is going to scare the rest of the world or take you seriously you ’ ve lied to people for decades weeks ago this cunt had a mask on to talk to the camera go fuck yourselves cnn fucking maggots,1,,
526074,yo little bitch why dont you do something about it why you minding other countries things you take that ar and fight that bitch dont tell us what you see nobody gives a shit,1,,
350780,drove for years these are your everyday rednecks who be on the cb at night talking trash calling black drivers porch monkeys or telling some to go back to your country definitely trump supporters,1,,
209641,thats one way to trigger pussy ass lefties rolling on the floor laughingrolling on the floor laughingrolling on the floor laughing,1,,
601190,the retards will blame the weather on trump if an asteroid hit the earth it would be trumps fault these retarded snowflakes need to get a life,1,,
52064,pussy ahh nigga,1,,
799306,what a bitch you are grace if a woman chooses to terminate her pregnancy or not that is none of your business bitch,1,,
956177,man those europeans sure are hillbilly yokels,1,,
698243,typical libtard now that their lefty regime is for more leases they snap their necks changing course idioots have have spines made of green slime,1,,
43394,you mean rich bitch pussy gathering,1,,
149218,the reason kids are the way they are is the parents dont watch what they do here for example this is a popular series of videos called burn the faggots and fuck the jews and crackers imafuckingashamedparentsaredumb,1,,
389603,no fuck that you all try to act like theyre these heroes who put their lives in the lives every day but theyre really bitches who leave that sacrifice to unarmed teachers and children teachers and children have more dangerous jobs than these bitch cops,1,,
166206,they should charge her too and her son was a faggot for the record a sick fucking faggot,1,,
202652,my thoughts is you are trash for giving that trash a microphone middle finger: medium-light skin tone,1,,
659997,hey crybaby the truth hurts you asked for feedback then cried like a little wuss when you got it is trash and you are trash for having her on and her book is definitely not a bestseller cry more wussy so unprofessional,1,,
1024851,i have copies of bent over having gay sex with dollars a copy gay sexhuh i mean you know it is just with jerking off watching,1,,
982106,right thumbs up: medium-light skin toneface with rolling eyes clowns clown face look at this a white lefty questioning a black trump supporter over a hat face with rolling eyes,1,,
249060,cnn trash can network this is the atmosphere cnn creates that attracts all of the p£dos to its doorstep for employ…,1,,
192585,oh piss off cunt,1,,
278652,cnn you scare tactic overhyping cocksuckers eat shit,1,,
566429,not sure if he sounds sounds pretentious but he definitely sounds like a twat,1,,
772206,f the stinky royals queen elizabeth is benjamins netanyahus judah whore,1,,
880648,sure after all most of you are already lizards and serpents by the way frogs can do that too perhaps species better suits you,1,,
507005,good god how ’ d those palefaces get in there,1,,
288389,murdering white people with no accountability is now the fashion its called paybacks a bitch,1,,
744657,howdareyou calling genderaffirmingsurgery damage is hatespeech whats worse you redneck republicans believe we should have to pay for our own surgeries doesnt believe we should obamacare universalhealthcare mypenisiscancer transpower,1,,
249608,this was a disgrace acted like a typical black trash commentator who on live tv used the words titties broke dick and other vulgarities on live cnn hes a bigot and deserves to be sitting with his bff chris cuomo at poolside bar in the rain,1,,
316629,thats because youre an uncle tom what we would call a house nigga your wan na be white privilege is obviousyoure a joke to your uniform and your existance,1,,
564888,are you some kind of retard,1,,
405324,heh yeah putin threatened fake news running scared like a bitch,1,,
112784,there comes a time when all great economists need to understand that its time to hang up their tighty whities and retire winking face,1,,
305602,experts thats a joke they are just a bunch of retarded snowflakes who will blame anything on trump,1,random,
315204,narr mate u are a bigoted twat,1,random,
10281,shut the fuck up and stick to your hillbilly rodeos,1,random,
625545,just like you niggas changed regimes in libya iraq afghanistan right,1,random,
892408,you dont sound very stable and i dont care what colour your skin is i had no idea what race you were when i called you what you are and yes you should seek help for your delusions now stop crying and bothering me or i will block your dumb bitch ass go get a life already,1,random,
